AGREEMENT_RK,AGE,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,GENDER,CHILD_TOTAL,DEPENDANTS,PERSONAL_INCOME,LOAN_NUM_TOTAL,LOAN_NUM_CLOSED,TARGET
60099204,42,1,0,1,1,0,25000.0,1,1,1
62244665,28,1,0,1,1,1,10000.0,1,1,0
61050759,64,1,1,0,2,0,30000.0,1,1,0
62079659,54,1,0,1,0,0,25000.0,1,1,0
66583553,26,1,0,0,1,1,15000.0,2,2,0
66759647,63,0,1,1,2,0,7800.0,1,1,0
60045224,32,1,0,0,0,0,12000.0,1,1,1
66593813,52,1,0,1,1,0,8000.0,3,3,0
62380912,47,1,0,0,2,0,10000.0,1,1,0
65420244,23,1,0,1,0,0,7000.0,1,1,0
64885090,42,1,0,1,2,1,9000.0,1,1,0
61241205,31,1,0,1,0,0,12000.0,1,1,0
65396723,25,1,0,1,0,0,4900.0,1,1,0
63590644,37,1,0,1,2,2,20000.0,1,1,0
62168155,52,0,1,1,3,0,5500.0,1,1,0
74560681,46,1,0,1,2,0,55000.0,2,2,0
60387399,28,1,0,1,1,1,8500.0,1,1,0
62810257,62,0,1,1,0,0,8000.0,1,1,0
61376906,50,1,0,0,1,0,20000.0,1,1,0
62178934,30,1,0,1,2,2,5000.0,1,1,1
61257026,64,0,1,0,0,0,9000.0,1,1,0
62171073,41,1,0,1,0,0,6500.0,1,1,0
64365052,27,1,0,1,0,0,7000.0,1,1,0
60456097,41,1,0,1,0,0,8000.0,1,1,0
75021737,30,1,0,1,0,0,15000.0,3,3,0
74834078,61,1,1,1,2,0,27000.0,1,1,0
67335615,38,1,0,1,0,1,15000.0,3,3,0
66194407,51,1,0,1,0,0,6000.0,1,1,0
63326150,58,0,1,0,2,0,10500.0,1,1,0
59911832,35,1,0,0,1,1,15000.0,2,2,0
66756441,45,1,0,0,2,1,20000.0,4,4,0
65405795,25,1,0,1,0,0,9000.0,2,2,0
62083785,62,1,1,1,2,0,13000.0,1,1,0
